URL, SIZE, #OUTLINKS, Content-Type 
https://www.reuters.com/news/picture/winter-wonderland-idusrts2c3hu,234236,159,text/html
https://www.reuters.com/finance/stocks/company-officers/zbra.oq,160001,195,text/html
https://www.reuters.com/journalists/manoj-kumar,131904,149,text/html
https://www.reuters.com/video/2019/02/12/catalan-separatists-trial-starts-in-madr?videoid=514159988,286282,205,text/html
https://www.reuters.com/article/us-sailing-sailgp-launch/ellison-and-coutts-launch-league-for-supercharged-cats-iduskcn1md2h9,200333,66,text/html
https://www.reuters.com/video/2019/01/16/food-for-thought-tech-fighting-waste?channelname=sustainable%2bbusiness&videochannel=118285&videoid=504264024,283584,189,text/html
https://www.reuters.com/investigates/special-report/assets/section-leads/usa-uncounted/usa-uncounted-cdc/usa-uncounted-surveillance-home4.jpg?v=332716030717,46237,0,image/jpeg
https://www.reuters.com/video/2019/02/14/no-deal-brexit-stirs-fears-of-violence-i?channelname=reuters%2bnow&videochannel=118262&videoid=514812798,280206,188,text/html
https://www.reuters.com/article/awards-grammys/cardi-b-goes-for-first-grammy-win-ariana-grande-drake-among-no-shows-idinkcn1pz0a0,202582,67,text/html
https://www.reuters.com/video/2019/02/13/notable-no-shows-at-us-hosted-mid-east-s?videoid=514659973,282207,193,text/html
https://www.reuters.com/investigates/static/4-0-0/en/images/reuters-investigates.png?v=333416030119,12607,0,image/png
https://www.reuters.com/finance/stocks/social-pulse/bdev.l,117965,145,text/html
https://www.reuters.com/finance/stocks/financial-highlights/0101.hk,133277,140,text/html
https://www.reuters.com/article/us-soccer-france-marseille-investment/uae-based-banker-eyes-300-million-euro-investment-in-marseille-iduskcn0zh4jw,196675,67,text/html
https://www.reuters.com/video/2018/12/02/israeli-police-seek-new-charges-against?newschannel&videoid=487721281,282194,192,text/html
https://www.reuters.com/finance/stocks/overview/adm.n,126160,155,text/html
https://www.reuters.com/video/2019/02/12/electronic-arts-new-game-challenges-fort?videoid=513988234,274291,195,text/html
https://www.reuters.com/article/us-people-ashley-judd-weinstein/u-s-judge-dismisses-ashley-judds-sex-harassment-claim-against-weinstein-iduskcn1p4049,201361,68,text/html
https://www.reuters.com/finance/stocks/officer-profile/dcc.l/2597637,116672,146,text/html
https://www.reuters.com/sectors/industries/rankings?industrycode=120&page=1&sortby=mktcap&sortdir=asc&view=size,153809,221,text/html
https://www.reuters.com/video/2019/02/06/snaps-numbers-give-investors-reason-to-c?newschannel&videoid=511737329,295329,218,text/html
https://www.reuters.com/article/us-venezuela-politics-russia-debt-iduskcn1q315c,195058,67,text/html
https://www.reuters.com/article/us-russia-qatar/qatari-stake-in-rosneft-paves-way-for-global-energy-deals-doha-envoy-iduskcn1q1191,204329,69,text/html
https://www.reuters.com/article/china-mengniu-results/dairy-firm-china-mengniu-says-h1-profit-rises-nearly-40-pct-idusl3n1vl07o,195891,63,text/html
https://www.reuters.com/investigates/special-report/assets/section-leads/reuters-investigates-2014/russia/comrade-capitalism-home.jpg?v=293316030119,49360,0,image/jpeg
https://www.reuters.com/finance/stocks/officer-profile/bdev.l/2698185,116563,145,text/html
https://www.reuters.com/finance/stocks/chart/3076.t,114331,139,text/html
https://www.reuters.com/finance/stocks/analyst-research/aan.n,119952,145,text/html
https://www.reuters.com/finance/stocks/analyst/bp.l,132285,147,text/html
https://www.reuters.com/sectors/industries/significant?categoryid=216&industrycode=179&pageid=2,142419,178,text/html
https://www.reuters.com/sectors/energy?smbl=spdr,122465,142,text/html
https://www.reuters.com/video/2019/02/13/border-security-deal-win-for-americans-p?channelname=mexico&videochannel=-10465&videoid=514633648,287550,202,text/html
https://www.reuters.com/finance/stocks/2502.t/key-developments/article/3736205,114044,143,text/html
https://www.reuters.com/video/2014/11/19/reuters-summit-first-fed-rate-hike-will?newschannel=investment14&videoid=347565095,298399,218,text/html
https://www.reuters.com/article/us-europe-stocks-iduskcn1q00q6,198194,69,text/html
https://www.reuters.com/finance/stocks/ceva.oq/key-developments/article/3980386,113693,145,text/html
https://www.reuters.com/finance/stocks/hd.n/key-developments,127918,155,text/html
https://www.reuters.com/investigates/special-report/assets/section-leads/philippines-drugs/philippines-duterta-doa/philippines-duterte-doa-home.jpg?v=095819200418,46061,0,image/jpeg
https://www.reuters.com/video/2019/02/12/trump-unveils-order-to-prioritize-ai?videochannel=6&videoid=513856569,272157,182,text/html
https://www.reuters.com/finance/stocks/hclt.bo/key-developments,124092,155,text/html
https://www.reuters.com/article/experian-outlook/experian-q3-organic-revenue-rises-on-north-america-boost-idusl3n1zh2bu,192328,63,text/html
https://www.reuters.com/finance/stocks/603989.ss/key-developments,120352,148,text/html
https://www.reuters.com/article/us-russia-usa-venezuela/russia-warns-united-states-against-intervention-in-venezuela-iduskcn1q12g7,195957,66,text/html
https://www.reuters.com/finance/stocks/company-officers/sxt.n,159490,196,text/html
https://www.reuters.com/article/us-money-lifelessons-corddry-iduskcn1nb1cl,201572,66,text/html
https://www.reuters.com/article/us-australia-cricket-religion/in-easter-sermons-australian-church-leaders-urge-forgiveness-for-disgraced-cricketers-iduskcn1h80ye,204493,68,text/html
https://www.reuters.com/article/us-norway-autos/norways-electric-cars-zip-to-new-record-almost-a-third-of-all-sales-iduskcn1ow0yp,204936,72,text/html
https://www.reuters.com/article/us-aerospace-defense-pentagon-industry/u-s-budget-cuts-complicate-pentagon-reform-drive-idusbre98601n20130907,204112,69,text/html
https://www.reuters.com/article/us-britain-eu-markets/eu-markets-watchdog-calls-for-rapid-response-powers-after-brexit-iduskcn1q22ei,198218,68,text/html
https://www.reuters.com/journalists/nidhi-verma,131386,148,text/html
https://www.reuters.com/finance/stocks/company-profile/trex.n,118199,148,text/html
https://www.reuters.com/article/us-banqueducaire-outlook-egypt/egypts-banque-du-caire-sees-40-45-percent-rise-in-profits-for-2015-iduskcn0st16u20151104,194752,64,text/html
https://www.reuters.com/article/us-soccer-usa-atl-feature-iduskbn1o6145,201673,67,text/html
https://www.reuters.com/investigates/special-report/assets/baby-opioids-pennsylvania/dustin-nguyen.jpg?v=322416211117,4302,0,image/jpeg
https://www.reuters.com/finance/stocks/chart/bp.l,114716,139,text/html
https://www.reuters.com/finance/stocks/overview/aal.oq,126149,155,text/html
https://www.reuters.com/article/britain-stocks-idusl8n1ww5qu,199240,65,text/html
https://www.reuters.com/article/us-usa-funds-marijuana/medicine-or-vice-socially-screened-funds-struggle-to-define-cannabis-industry-iduskcn1nw2da,205670,69,text/html
https://www.reuters.com/investigates/special-report/assets/baby-opioids-florida/reanne-pederson12-related.jpg?v=322416211117,4842,0,image/jpeg
https://www.reuters.com/article/us-food-summit-dupont/dupont-sees-protein-demand-lifting-soy-sales-idusbre82c1dj20120313,200771,67,text/html
https://www.reuters.com/article/us-food-summit-viterra/only-a-few-can-afford-viterra-bmo-capital-markets-idusbre82b13j20120312,195132,67,text/html
https://www.reuters.com/journalists/jonathan-barrett,131294,148,text/html
https://www.reuters.com/finance/stocks/officer-profile/dcc.l/2722178,116516,146,text/html
https://www.reuters.com/article/us-cee-summit-pfr/polish-fund-targets-2-15-billion-for-infrastructure-energy-iduskbn18m1dg,198296,72,text/html
https://www.reuters.com/finance/stocks/afl.n/key-developments,128271,156,text/html
https://www.reuters.com/investigates/special-report/assets/baby-opioids-florida/amanda-mckenzie-and-liam.jpg?v=322416211117,69904,0,image/jpeg
https://www.reuters.com/finance/stocks/company-news/0914.hk,126482,138,text/html
https://www.reuters.com/finance/stocks/financial-highlights/0288.hk,134424,145,text/html
https://www.reuters.com/article/washington-reit-divestiture/washington-reit-exploring-sale-of-retail-portfolio-bloomberg-idusl4n1wa4ep,191501,64,text/html
https://www.reuters.com/article/us-sport-doping-russia/athletics-iaaf-to-vote-on-tuesday-on-whether-to-reinstate-russia-iduskbn1o21tt,197867,68,text/html
https://www.reuters.com/article/deals-day/deals-of-the-day-mergers-and-acquisitions-idusl3n1yi3ik,199057,63,text/html
https://www.reuters.com/article/court-hlundbeck-eu-antitrust/denmarks-lundbeck-loses-eu-pay-for-delay-antitrust-appeal-idusl1n1bk11k,194646,64,text/html
https://www.reuters.com/article/us-usa-lead-suit/nyc-mother-seeks-millions-from-city-after-childs-lead-poisoning-iduskbn1e2219,201236,69,text/html
