19/03/16 18:48:12 INFO client.RMProxy: Connecting to ResourceManager at cluster-a652-m/10.138.0.5:8032
19/03/16 18:48:13 INFO client.AHSProxy: Connecting to Application History server at cluster-a652-m/10.138.0.5:10200
19/03/16 18:48:14 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
19/03/16 18:48:15 INFO input.FileInputFormat: Total input files to process : 74
19/03/16 18:48:15 INFO mapreduce.JobSubmitter: number of splits:74
19/03/16 18:48:15 INFO Configuration.deprecation: yarn.resourcemanager.system-metrics-publisher.enabled is deprecated. Instead, use yarn.system-metrics-publisher.enabled
19/03/16 18:48:15 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1552712881446_0002
19/03/16 18:48:15 INFO impl.YarnClientImpl: Submitted application application_1552712881446_0002
19/03/16 18:48:15 INFO mapreduce.Job: The url to track the job: http://cluster-a652-m:8088/proxy/application_1552712881446_0002/
19/03/16 18:48:15 INFO mapreduce.Job: Running job: job_1552712881446_0002
19/03/16 18:57:56 INFO mapreduce.Job:  map 100% reduce 36%
19/03/16 18:58:00 INFO mapreduce.Job:  map 100% reduce 39%
19/03/16 18:58:01 INFO mapreduce.Job:  map 100% reduce 45%
19/03/16 18:58:02 INFO mapreduce.Job:  map 100% reduce 46%
19/03/16 18:58:06 INFO mapreduce.Job:  map 100% reduce 47%
19/03/16 18:58:07 INFO mapreduce.Job:  map 100% reduce 49%
19/03/16 18:58:08 INFO mapreduce.Job:  map 100% reduce 51%
19/03/16 18:58:12 INFO mapreduce.Job:  map 100% reduce 52%
19/03/16 18:58:13 INFO mapreduce.Job:  map 100% reduce 53%
19/03/16 18:58:14 INFO mapreduce.Job:  map 100% reduce 54%
19/03/16 18:58:18 INFO mapreduce.Job:  map 100% reduce 55%
19/03/16 18:58:19 INFO mapreduce.Job:  map 100% reduce 56%
19/03/16 18:58:20 INFO mapreduce.Job:  map 100% reduce 57%
19/03/16 18:58:24 INFO mapreduce.Job:  map 100% reduce 58%
19/03/16 18:58:25 INFO mapreduce.Job:  map 100% reduce 59%
19/03/16 18:58:26 INFO mapreduce.Job:  map 100% reduce 60%
19/03/16 18:58:27 INFO mapreduce.Job:  map 100% reduce 65%
19/03/16 18:58:30 INFO mapreduce.Job:  map 100% reduce 66%
19/03/16 18:58:32 INFO mapreduce.Job:  map 100% reduce 68%
19/03/16 18:58:36 INFO mapreduce.Job:  map 100% reduce 69%
19/03/16 18:58:38 INFO mapreduce.Job:  map 100% reduce 71%
19/03/16 18:58:44 INFO mapreduce.Job:  map 100% reduce 73%
19/03/16 18:58:50 INFO mapreduce.Job:  map 100% reduce 75%
19/03/16 18:58:56 INFO mapreduce.Job:  map 100% reduce 77%
19/03/16 18:58:57 INFO mapreduce.Job:  map 100% reduce 78%
19/03/16 18:59:02 INFO mapreduce.Job:  map 100% reduce 79%
19/03/16 18:59:03 INFO mapreduce.Job:  map 100% reduce 83%
19/03/16 18:59:08 INFO mapreduce.Job:  map 100% reduce 84%
19/03/16 18:59:09 INFO mapreduce.Job:  map 100% reduce 85%
19/03/16 18:59:14 INFO mapreduce.Job:  map 100% reduce 86%
19/03/16 18:59:18 INFO mapreduce.Job:  map 100% reduce 87%
19/03/16 18:59:20 INFO mapreduce.Job:  map 100% reduce 88%
19/03/16 18:59:24 INFO mapreduce.Job:  map 100% reduce 89%
19/03/16 18:59:26 INFO mapreduce.Job:  map 100% reduce 90%
19/03/16 18:59:31 INFO mapreduce.Job:  map 100% reduce 91%
19/03/16 18:59:36 INFO mapreduce.Job:  map 100% reduce 92%
19/03/16 18:59:38 INFO mapreduce.Job:  map 100% reduce 93%
19/03/16 18:59:42 INFO mapreduce.Job:  map 100% reduce 94%
19/03/16 18:59:45 INFO mapreduce.Job:  map 100% reduce 95%
19/03/16 18:59:57 INFO mapreduce.Job:  map 100% reduce 96%
19/03/16 19:00:09 INFO mapreduce.Job:  map 100% reduce 97%
19/03/16 19:00:21 INFO mapreduce.Job:  map 100% reduce 98%
19/03/16 19:00:39 INFO mapreduce.Job:  map 100% reduce 99%
19/03/16 19:01:03 INFO mapreduce.Job:  map 100% reduce 100%
19/03/16 19:01:13 INFO mapreduce.Job: Job job_1552712881446_0002 completed successfully
19/03/16 19:01:13 INFO mapreduce.Job: Counters: 56
	File System Counters
		FILE: Number of bytes read=19799807829
		FILE: Number of bytes written=30133728128
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=3358558058
		GS: Number of bytes written=91426620
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=10508
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=74
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=1
		Launched map tasks=74
		Launched reduce tasks=9
		Rack-local map tasks=74
		Total time spent by all maps in occupied slots (ms)=16166024

		Total time spent by all reduces in occupied slots (ms)=5834696
		Total time spent by all map tasks (ms)=4041506
		Total time spent by all reduce tasks (ms)=1458674
		Total vcore-milliseconds taken by all map tasks=4041506
		Total vcore-milliseconds taken by all reduce tasks=1458674
		Total megabyte-milliseconds taken by all map tasks=8277004288
		Total megabyte-milliseconds taken by all reduce tasks=2987364352
	Map-Reduce Framework
		Map input records=74
		Map output records=542247078
		Map output bytes=9234211755
		Map output materialized bytes=10318709463
		Input split bytes=10508
		Combine input records=0
		Combine output records=0
		Reduce input groups=1076757
		Reduce shuffle bytes=10318709463
		Reduce input records=542247078
		Reduce output records=1076757
		Spilled Records=1582634577
		Shuffled Maps =592
		Failed Shuffles=0
		Merged Map outputs=592
		GC time elapsed (ms)=161709
		CPU time spent (ms)=3326240
		Physical memory (bytes) snapshot=112515190784
		Virtual memory (bytes) snapshot=288154517504
		Total committed heap usage (bytes)=102597394432
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=3358558058
	File Output Format Counters 
		Bytes Written=91426620
Job output is complete
